Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
main_body_base_link,-0.41768,0.50641,0.022451,0,0,0,56.09,3.5909,-0.66839,0.077434,3.5756,0.53822,4.5266,0,0,0,0,0,0,package://full_assembly_gripper_final/meshes/main_body_base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://full_assembly_gripper_final/meshes/main_body_base_link.STL,,plaque_model_body_1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_arm_base_link,0.17913,-0.027883,0.30715,0,0,0,56.09,4.1362,-0.092043,-0.46783,3.5756,-0.8532,3.9813,0,0,0,0,0,0,package://full_assembly_gripper_final/meshes/right_arm_base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://full_assembly_gripper_final/meshes/right_arm_base_link.STL,,plaque_arm_chest-2,Origin_main_right_arm,,main_right_arm,fixed,-0.07383,0.068072,0.47852,-1.5708,0,2.3562,main_body_base_link,0,0,0,,,,,,,,,,,,
right_arm_link_1,-0.21548,0.17913,-0.22064,0,0,0,56.09,4.5726,0.22387,0.37211,4.1362,0.42097,2.9843,0,0,0,0,0,0,package://full_assembly_gripper_final/meshes/right_arm_link_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://full_assembly_gripper_final/meshes/right_arm_link_1.STL,,plaque_arm_shoulder-1,Origin_right_arm_base_1,Axis_right_arm_base_1,right_arm_base_1,revolute,0,0,0,3.1416,0.68303,1.5708,right_arm_base_link,0,1,0,1,1,-3.15,3.15,,,,,,,,
right_arm_link_2,0.21548,-0.17597,-0.13585,0,0,0,56.09,4.5726,-0.20599,-0.3823,2.9144,-0.30303,4.2061,0,0,0,0,0,0,package://full_assembly_gripper_final/meshes/right_arm_link_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://full_assembly_gripper_final/meshes/right_arm_link_2.STL,,plaque_arm_shoulder_output-1,Origin_right_arm_1_2,Axis_right_arm_1_2,right_arm_1_2,revolute,0,0.20629,0,1.0358,0,3.1416,right_arm_link_1,1,0,0,1,1,-3.15,3.15,,,,,,,,
right_arm_link_3,0.204528969916928,-0.124044170874312,0.178995777624322,0,0,0,56.0902216685423,4.47766759341818,0.220380662935411,0.414638104475794,2.91441064420144,-0.2927318747524,4.30096947846026,0,0,0,0,0,0,package://full_assembly_gripper_final/meshes/right_arm_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://full_assembly_gripper_final/meshes/right_arm_link_3.STL,,bicep_right-1,Origin_right_arm_2_3,Axis_right_arm_2_3,right_arm_2_3,revolute,-0.019923,-0.051925,0,0,1.2423,0,right_arm_link_2,0,1,0,1,1,-3.15,3.15,,,,,,,,
right_arm_link_4,0.10398,-0.20453,0.20544,0,0,0,56.09,3.1122,-0.12175,-0.56638,4.4777,-0.45351,4.1032,0,0,0,0,0,0,package://full_assembly_gripper_final/meshes/right_arm_link_4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://full_assembly_gripper_final/meshes/right_arm_link_4.STL,,plaque_arm_elbow-1,Origin_right_arm_3_4,Axis_right_arm_3_4,right_arm_3_4,revolute,0,-0.27146,0.0021175,0,0.22624,1.5708,right_arm_link_3,0,1,0,1,1,-3.15,3.15,,,,,,,,
right_arm_link_5,-0.16253,-0.2397,0.16324,0,0,0,56.09,3.9464,0.34981,0.57921,4.6345,-0.010995,3.1122,0,0,0,0,0,0,package://full_assembly_gripper_final/meshes/right_arm_link_5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://full_assembly_gripper_final/meshes/right_arm_link_5.STL,,plaque_arm_forearm-1,Origin_right_arm_4_5,Axis_right_arm_4_5,right_arm_4_5,revolute,-0.059255,-0.0004,0,-1.5708,1.378,-1.5708,right_arm_link_4,0,0,1,1,1,-3.15,3.15,,,,,,,,
right_arm_link_6,0.146035041451102,0.285560775113407,-0.518617639829215,0,0,0,56.0902216685423,4.62023878015412,0.449686910446228,-0.145007653565675,3.70221252770419,0.62992397052917,3.37059640822157,0,0,0,0,0,0,package://full_assembly_gripper_final/meshes/right_arm_link_6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://full_assembly_gripper_final/meshes/right_arm_link_6.STL,,plaque_hand-1,Origin_right_arm_5_6,,right_arm_5_6,fixed,0.025621,-0.014338,-0.37122,2.9496,0.15424,-1.6007,right_arm_link_5,0,0,0,1,1,-3.15,3.15,,,,,,,,
left_arm_base_link,0.21529,0.031019,0.27339,0,0,0,56.09,3.9813,0.8532,-0.46783,3.5756,0.092043,4.1362,0,0,0,0,0,0,package://full_assembly_gripper_final/meshes/left_arm_base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://full_assembly_gripper_final/meshes/left_arm_base_link.STL,,plaque_arm_chest-3,Origin_main_left_arm,,main_left_arm,fixed,-0.072122,-0.063535,0.47539,1.5708,0,-2.3562,main_body_base_link,0,0,0,,,,,,,,,,,,
left_arm_link_1,-0.24788,0.21529,0.11942,0,0,0,56.09,4.06,-0.058719,-0.213,3.9813,-0.97127,3.6517,0,0,0,0,0,0,package://full_assembly_gripper_final/meshes/left_arm_link_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://full_assembly_gripper_final/meshes/left_arm_link_1.STL,,plaque_arm_shoulder-2,Origin_left_arm_1_2,Axis_left_arm_1_2,left_arm_1_2,revolute,0,0,0,0,1.0089,-1.5708,left_arm_base_link,0,1,0,1,1,-3.15,3.15,,,,,,,,
left_arm_link_2,0.24788,-0.095443,0.072342,0,0,0,56.09,4.06,-0.19849,0.097059,2.8324,0.044192,4.8007,0,0,0,0,0,0,package://full_assembly_gripper_final/meshes/left_arm_link_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://full_assembly_gripper_final/meshes/left_arm_link_2.STL,,plaque_arm_shoulder_output-2,Origin_left_arm_1_22,Axis_left_arm_1_22,left_arm_1_2,revolute,0,0.20629,0,-0.847,0,3.1416,left_arm_link_1,1,0,0,1,1,-3.15,3.15,,,,,,,,
left_arm_link_3,0.17264,-0.037426,-0.21713,0,0,0,56.09,4.7548,-0.038171,0.20319,2.8324,0.19973,4.1059,0,0,0,0,0,0,package://full_assembly_gripper_final/meshes/left_arm_link_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://full_assembly_gripper_final/meshes/left_arm_link_3.STL,,plaque_arm_bicep-2,Origin_left_arm_2_3,Axis_left_arm_2_3,left_arm_2_3,revolute,-0.019923,-0.058017,0,0,-1.1629,0,left_arm_link_2,0,1,0,1,1,-3.15,3.15,,,,,,,,
